,count_of_size,Color1,Color2,Color3,Color4,Color5,Product_code
220,12.0, Puma Black, Puma Black,,,, 384209_02
221,12.0, PUMA White-PUMA Black, PUMA White,,,, 393802_01
222,5.0, Frosted Ivory, Frosted Ivory,,,, 389454_05
223,11.0, Ivory Glow-PUMA Navy,,,,, 394920_01
224,12.0, PUMA White-Frosty Pink,,,,, 395461_11
225,12.0, Pink Delight-PUMA Green-Gum,,,,, 397858_01
226,12.0, Warm White-Toasted Almond-Cashew,,,,, 396444_01
227,12.0, Sugared Almond-PUMA Gold,,,,, 309720_04
228,12.0, Fire Orchid-PUMA Silver-Icy Blue, Fire Orchid,,,, 377316_09
229,12.0, Alpine Snow-Ultra Blue-Yellow Burst, Cool Dark Gray, Eucalyptus, Alpine Snow, Active Red, 377746_05
230,12.0, PUMA White-Cherry Tomato, Cherry Tomato,,,, 309758_01
231,19.0, Chocolate Chip-Flaxen,,,,, 393449_02
232,12.0, Koral Ice-Speed Green, Koral Ice,,,, 378482_02
233,19.0, PUMA Black-Warm White, Rosso Corsa,,,, 307826_01
234,12.0, PUMA Black-PUMA White-Dark Coal,,,,, 378823_01
235,12.0, PUMA White-PUMA Black, PUMA Black, Warm White,,, 390932_01
236,19.0, Rosso Corsa-Warm White, Rosso Corsa,,,, 307826_02
237,13.0, Cobalt Glaze-PUMA White, Fresh Mint, Vine, Cobalt Glaze, Club Red, 396463_07
238,12.0, PUMA White-Speed Green, PUMA Black,,,, 378688_02
239,12.0, PUMA Black-Koral Ice-Speed Green-PUMA Silver, Koral Ice,,,, 378482_01
240,16.0, Sedate Gray-Sedate Gray, Sedate Gray,,,, 393314_02
241,12.0, PUMA Black-Bold Blue-Future Pink, PUMA Black,,,, 378688_03
242,12.0, Cherry Tomato-PUMA Black, Cherry Tomato,,,, 309758_02
243,19.0, Ultra Orange-PUMA Black,,,,, 378096_02
244,12.0, PUMA Black-Peach Smoothie-Speed Green, PUMA Black, Fire Orchid,,, 378456_03
245,12.0, Chocolate, Chocolate,,,, 394786_04
246,12.0, PUMA White-Warm White,,,,, 394749_01
247,11.0, Dusty Tan, Dusty Tan,,,, 378437_02
248,, Pelé Yellow-Club Red, Fresh Mint, Vine, Cobalt Glaze, Club Red, 396463_01
249,12.0, PUMA White-Fire Orchid-PUMA Black, PUMA White, PUMA Black,,, 376169_10
250,12.0, PUMA White-Icy Blue-Warm White, PUMA White,,,, 393764_03
251,, Club Red-Club Navy, Fresh Mint, Vine, Cobalt Glaze, Club Red, 396463_09
252,12.0, PUMA Black-Strawberry Burst-Yellow Blaze,,,,, 378454_01
253,12.0, Vine-Clementine, Fresh Mint, Vine, Cobalt Glaze, Club Red, 396463_05
254,12.0, PUMA Black-Intense Lavender,,,,, 394508_03
255,12.0, Cool Dark Gray-Koral Ice, Cool Dark Gray, Eucalyptus, Alpine Snow, Active Red, 377746_03
256,12.0, PUMA Black-Cool Dark Gray-PUMA Silver,,,,, 378791_01
257,12.0, Frosted Ivory-PUMA White, PUMA White,,,, 393764_02
258,12.0, PUMA Black-Cool Dark Gray-PUMA Silver, Cool Dark Gray, Eucalyptus, Alpine Snow, Active Red, 377746_01
259,12.0, PUMA Black-Fire Orchid,,,,, 377063_04
260,12.0, PUMA Black-Strawberry Burst-Yellow Blaze,,,,, 378684_01
261,13.0, Persian Blue-PUMA White-Pro Green, Persian Blue,,,, 107356_03
262,11.0, Warm White-Bright Melon,,,,, 379114_01
263,19.0, Persian Blue-Orange Brick,,,,, 393326_01
264,14.0, PUMA Black-Koral Ice-Speed Green,,,,, 378906_01
265,12.0, PUMA Black-Platinum Gray, Ash Gray, Dark Jasper,,, 377855_01
266,12.0, Astro Red-Fire Orchid-PUMA Black,,,,, 377839_02
267,12.0, Fire Orchid-Ultra Blue, PUMA Black, Fire Orchid,,, 378456_05
268,12.0, PUMA Black-Purple Pop-Yellow Burst,,,,, 377508_04
269,11.0, PUMA Black-Cool Cobalt-Pop Red,,,,, 307761_01
270,12.0, Ash Gray-Alpine Snow-Koral Ice, Ash Gray, Dark Jasper,,, 377855_06
271,13.0, PUMA White-Fire Orchid-Ultra Blue-PUMA Black, PUMA White,,,, 377787_03
272,13.0, PUMA Black-Cool Dark Gray,,,,, 377942_01
273,12.0, Warm White-Yellow Burst-Parakeet Green, PUMA Black, Warm White,,, 390932_09
274,12.0, PUMA Black,,,,, 379288_01
275,12.0, Neon Sun-Alpine Snow-PUMA Black, Neon Sun,,,, 307685_04
276,12.0, Dark Jasper-PUMA Black-Fire Orchid, Ash Gray, Dark Jasper,,, 377855_08
277,12.0, Ash Gray-PUMA Black-Koral Ice, Neon Sun,,,, 307685_03
278,12.0, Koral Ice-Cool Mid Gray-PUMA Black,,,,, 378551_04
279,, Active Red-Ocean Tropic-Lime Pow, Cool Dark Gray, Eucalyptus, Alpine Snow, Active Red, 377746_07
280,11.0, Fire Orchid-Ultra Blue-PUMA White,,,,, 376592_05
281,11.0, Dusty Tan,,,,, 378435_02
282,14.0, Ghost Pepper-PUMA Black-Pink Glimmer,,,,, 379115_01
283,22.0, PUMA White-Platinum Gray, PUMA White, PUMA White, PUMA White, PUMA Black, 379082_01
284,12.0, Adriatic-PUMA Black-Ravish,,,,, 376946_08
285,13.0, Fresh Mint-Fast Pink, Fresh Mint, Vine, Cobalt Glaze, Club Red, 396463_02
286,12.0, Yellow Burst-Racing Blue-Pink Glimmer,,,,, 379040_01
287,12.0, Puma Black,,,,, 383157_02
288,, Poison Pink-PUMA Black-PUMA White, Fire Orchid, Poison Pink,,, 376855_25
289,12.0, Fire Orchid-Ultra Blue-PUMA White, PUMA White,,,, 377787_02
290,14.0, Puma Black-Metallic Gold, PUMA White, PUMA Black,,, 376169_01
291,23.0, Platinum Gray-PUMA White, PUMA White, PUMA White, PUMA White, PUMA Black, 379082_06
292,9.0, PUMA White-Vapor Gray-Gum, PUMA Black,,,, 397647_01
293,9.0, For All Time Red-Ultra Blue, PUMA White,,,, 376311_04
294,12.0, Bright Melon-Frosted Ivory,,,,, 393084_01
295,9.0, PUMA White-Fire Orchid, PUMA White,,,, 376311_05
296,23.0, PUMA Black-PUMA White, PUMA White, PUMA White, PUMA White, PUMA Black, 379082_05
297,23.0, PUMA White-Clyde Royal, PUMA White, PUMA White, PUMA White, PUMA Black, 379082_04
298,23.0, PUMA White-For All Time Red, PUMA White, PUMA White, PUMA White, PUMA Black, 379082_03
299,23.0, PUMA White-PUMA Black, PUMA White, PUMA White, PUMA White, PUMA Black, 379082_02
