,count_of_size,Color1,Color2,Color3,Color4,Color5,Product_code
200,7,Core Black , Core Black , Core Black , Core Black , Grey Two , IG4768
201,14,Solar Orange , Solar Orange , Grey Two , Core Black , Wild Pink , IG3097
202,17,Chalk White , Chalk White ,,,, HQ5873
203,14,Grey Two , Grey Two , Core Black , Utility Green , Core Black , IE4556
204,14,Core Black , Core Black , Wonder Quartz S23 , Crystal White , Silver Dawn , HR0063
205,14,Core Black , Core Black , Grey Three , Core Black , Feather Grey , ID9423
206,7,Chalk White , Core Black , Non Dyed , Core Black , Core Black , HP3129
207,14,Bliss Lilac , Cloud White , Core Black , Bliss Lilac , Pink Fusion , GX9524
208,12,Cloud White , Core Black , Cloud White , Core Black , Mineral Green , ID9432
209,12,Non Dyed , Core Black ,,,, GX1551
210,14,Cloud White , Core Black , Grey Three , Core Black , Feather Grey , IE9249
211,14,Collegiate Gold , Core Black , Wonder Beige , Solar Green , Collegiate Gold , ID5901
212,14,Flash Aqua , Core Black , Non Dyed , Core Black , Core Black , IG4777
213,14,Aluminium , Core Black , Core Black , Core Black , Shadow Navy , IE4557
214,14,Cloud White , Beam Pink F22 , Bliss Orange , Cloud White , Cloud White , HQ8915
215,14,Grey Two , Core Black , Non Dyed , Core Black , Core Black , HP5967
216,14,Halo Blush , Core Black , Cloud White , Core Black , Mineral Green , HQ5878
217,14,Grey Two , Core Black , Core Black , Core Black , Grey Two , IG5460
218,14,Cloud White , Core Black , Core Black , Core Black , Shadow Navy , IE4569
219,14,Wonder Taupe S23 , Core Black , Wonder Steel F22 , Trace Grey , Core Black , IF5619
220,14,Shadow Navy , Core Black , Core Black , Core Black , Shadow Navy , GY6056
221,14,Wonder Beige , Core Black , Cloud White , Core Black , Mineral Green , FV7827
222,14,Cloud White , Cloud White ,,,, IF3250
223,21,Core Black , Grey Two , Core Black , Utility Green , Core Black , ID9641
224,17,Core Black , Core Black , Non Dyed , Core Black , Core Black , IG5892
225,14,Grey One , Core Black , Core Black , Core Black , Shadow Navy , IG3196
226,14,Cloud White , Cloud White , Preloved Ink ,,, ID9422
227,14,Violet Fusion S23 , Core Black , Non Dyed , Core Black , Core Black , HQ4444
228,14,Core Black , Cloud White , Core Black , Off White , Cloud White , IE9214
229,14,Dash Grey , Dash Grey , Lucid Pink , Core Black , Cloud White , GW4652
230,14,Core Black , Core Black , Cloud White , Core Black , Mineral Green , IE9670
231,17,Bliss , Core Black , Cloud White , Core Black , Mineral Green , HQ8396
232,14,Wonder Beige , Arctic Night F23 , Better Scarlet , Core Black , Cloud White , ID9639
233,17,Blue Fusion , Blue Fusion ,,,, ID1747
234,14,Core Black , Core Black , Core Black , Core Black , Shadow Navy , IE5465
235,14,Wonder Quartz S23 , Core Black , Non Dyed , Core Black , Core Black , HQ1443
236,21,Wonder Quartz S23 , Core Black ,,,, IG2372
237,18,Wonder Quartz S23 , Core Black ,,,, ID9675
238,14,Cloud White , Core Black , Core Black , Core Black , Grey Two , IE8211
239,24,Cloud White , Core Black , Core Black ,,, IF5268
240,14,Core Black , Core Black , Non Dyed , Core Black , Core Black , IG8337
241,14,Core Black , Core Black , Non Dyed ,,, ID0273
242,24,Carbon , Carbon , Wonder Quartz , Silver Dawn , Shadow Violet F23 , ID9442
243,17,Core Black , Grey Two , Core Black , Utility Green , Core Black , GZ9261
244,16,Oatmeal , Oatmeal , Aluminium , Aluminium ,, ID9600
245,17,Gobi-Smc , Cloud White , Core Black , Ash Grey , Mystery Ink , HR0066
246,17,Silver Green , Clay Strata , Cloud White , Earth Strata S23 , Core Black , IF5603
247,17,Cloud White , Bright Blue , Cloud White , Cloud White , Cloud White , IF8139
248,26,Core Black , Core Black ,,,, ID9676
249,25,Cloud White , Bliss Orange , Off White , Shadow Navy S22 , Grey Three , IG2374
250,14,Core Black , Core Black , Core Black , Core Black , Grey Two , GZ9256
251,7,Dash Grey , Carbon , Wonder Quartz , Silver Dawn , Shadow Violet F23 , ID9584
252,24,Carbon , Carbon ,,,, GZ9260
253,17,Core Black , Core Black , Core Black , Core Black , Shadow Navy , IF5274
254,25,Cloud White , Dash Grey , Lucid Pink , Core Black , Cloud White , IF5282
255,24,Chalk White , Bliss Orange , Off White , Shadow Navy S22 , Grey Three , IF5605
256,24,Pulse Mint S22 , Wonder Red F22 , Cloud White , Pulse Mint S22 , Core Black , IG5877
