,Unnamed: 0,ShoeName,Category,no_of_colors,Price
169,169,Woodland Lpink Casual Sneakers For Women,Women,2 ,24.0
170,170,LBLUE High Ankle Sneakers For Women,Women,2 ,46.76
171,171,Woods Black Sneakers For Women,Women,2 ,29.96
172,172,Graffiti/White Sneakers For Women,Women,3 ,24.0
173,173,ORANGE Casual Sneakers For Women,Women,4 ,14.4
174,174,Woodland Black Casual Sneakers,Women,2 ,24.0
175,175,Woods RED Casual Sneakers,Women,2 ,64.76
176,176,BLACK Sneakers For Women,Women,2 ,24.0
177,177,Grey Casual Sneakers For Women,Women,1 ,18.0
178,178,Purple Sock-Style High Top Sneakers,Women,2 ,39.56
179,179,Navy Sneaker For Women,Women,2 ,43.16
180,180,Off-White Chunky Sole Sneaker,Women,2 ,24.0
181,181,Woods WHITE Casual Sneakers,Women,2 ,64.76
182,182,White High-Top Sneaker For Women,Women,1 ,18.0
183,183,White Casual Sneakers For Women,Women,2 ,32.96
184,184,White Sports Shoe For Women,Women,1 ,46.76
185,185,Woods DSKY BLUE Rose Casual Sneakers For Women,Women,1 ,28.16
186,186,Woods Red Chunky Sole Sneakers,Women,2 ,24.0
187,187,Nude Sneakers With Gold Detail,Women,2 ,30.0
