,Unnamed: 0,reviews,Size,comfort,quality,star_rating
118,118,1,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",100.00,100.00,5.0
119,119,3,",4,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12",100.00,100.00,3.7
120,120,3,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",100.00,100.00,5.0
121,121,17,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15,16,17,18",76.90,76.90,4.1
122,122,17,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15,16,17,18",76.90,76.90,4.1
123,123,0,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,14",76.90,76.90,0.0
124,124,4,",4,5,6,7,8,9,10,11,12,13,14,15",76.90,76.90,5.0
125,125,0,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",76.90,76.90,0.0
126,126,0,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13",76.90,76.90,0.0
127,127,0,",4,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12",76.90,76.90,0.0
128,128,1,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",76.90,76.90,5.0
129,129,0,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",76.90,76.90,0.0
130,130,3,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",66.70,66.70,5.0
131,131,0,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",66.70,66.70,0.0
132,132,7,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",42.90,42.90,3.3
133,133,7,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15,16,17",42.90,42.90,4.6
134,134,0,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",42.90,42.90,0.0
135,135,1,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",42.90,42.90,5.0
136,136,0,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",42.90,42.90,0.0
137,137,1,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13",42.90,42.90,5.0
138,138,0,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13",42.90,42.90,0.0
139,139,1,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13",42.90,42.90,2.0
140,140,0,",5.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12",42.90,42.90,0.0
141,141,0,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",42.90,42.90,0.0
142,142,7,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15,16",57.10,57.10,4.6
143,143,0,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",57.10,57.10,0.0
144,144,0,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12",57.10,57.10,0.0
145,145,0,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",57.10,57.10,0.0
146,146,0,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",57.10,57.10,0.0
147,147,43,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14",57.10,57.10,4.4
148,148,1,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13",57.10,57.10,5.0
149,149,2,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14",57.10,57.10,3.0
150,150,6,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",57.10,57.10,4.5
151,151,6,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",50.00,50.00,4.5
152,152,6,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",50.00,50.00,4.5
153,153,0,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",50.00,50.00,0.0
154,154,0,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",50.00,50.00,0.0
155,155,0,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",50.00,50.00,0.0
156,156,0,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14.5,15.5",50.00,50.00,0.0
157,157,0,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14.5,15.5",50.00,50.00,0.0
158,158,162,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",80.90,80.90,4.1
159,159,159,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",80.90,80.90,4.3
160,160,162,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",80.90,80.90,4.1
161,161,55,",6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",85.70,85.70,4.4
162,162,30,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",66.70,66.70,3.9
163,163,103,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",66.70,66.70,4.7
164,164,159,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",66.70,66.70,4.3
165,165,9,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",75.00,75.00,4.1
166,166,0,",7,7.5,8,8.5,9,9.5,10,10.5,11",75.00,75.00,0.0
167,167,0,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",75.00,75.00,0.0
168,168,36,",5.5,6,6.5,7.5,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14.5,15.5",73.50,73.50,4.1
169,169,103,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",92.90,92.90,4.7
170,170,9,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",100.00,100.00,4.9
171,171,159,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",83.00,83.00,4.3
172,172,48,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",89.70,89.70,4.6
173,173,3,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",100.00,100.00,4.7
174,174,36,",5.5,6,6.5,7,7.5,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14.5,15.5",73.50,73.50,4.1
175,175,1,",6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",73.50,73.50,5.0
176,176,3,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",100.00,100.00,4.7
177,177,55,",6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",85.70,85.70,4.4
178,178,0,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",85.70,85.70,0.0
179,179,159,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",83.00,83.00,4.3
180,180,0,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",83.00,83.00,0.0
181,181,48,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",89.70,89.70,4.6
182,182,0,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",89.70,89.70,0.0
183,183,1,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14.5,15.5",89.70,89.70,4.0
184,184,0,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",89.70,89.70,0.0
185,185,17,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",75.00,75.00,3.8
186,186,6,",7,7.5,8,8.5,9,9.5,10,10.5,11",75.00,75.00,4.5
187,187,1,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",75.00,75.00,5.0
188,188,0,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14.5,15.5",75.00,75.00,0.0
189,189,1,",5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",100.00,100.00,5.0
