,Unnamed: 0,ShoeName,Category,no_of_colors,Price
139,139,"PUMA x CIELE Fast-R NITRO™ Elite Men's Running Shoes
Dusty Tan",Men,1 ,250.00
140,140,"Velophasis Technisch Sneakers 
PUMA White-PUMA Black",Men,3 ,120.00
141,141,"Scuderia Ferrari Clyde Garage Crews Sneakers
PUMA Black-Warm White",Men,2 ,90.00
142,142,"All-Pro NITRO™ Men's Basketball Shoes
Lime Squeeze-PUMA White",Men,2 ,130.00
143,143,"SEASONS Fast-Trac NITRO™ 2 Men's Running Shoes
PUMA Black-Dark Coal",Men,2 ,120.00
144,144,"KING ULTIMATE ENERGY FG/AG Men's Soccer Cleats
Ultra Blue-Luminous Pink-Luminous Blue",Men,1 ,220.00
145,145,"Clyde Huskie Corn-Based Sneakers
PUMA White",Men,1 ,110.00
146,146,"Scuderia Ferrari Clyde Garage Crews Sneakers
Rosso Corsa-Warm White",Men,2 ,90.00
147,147,"Velocity NITRO™ 2 Men's Running Shoes
Fire Orchid-Puma Black",Men,2 ,120.00
148,148,"Liberate NITRO™ 2 'Marathon Series' Men's Running Shoes
PUMA Black-PUMA Silver",Men,1 ,120.00
149,149,"ULTRA PRO FG/AG Men's Soccer Cleats
Yellow Blaze-PUMA White-PUMA Black",Men,2 ,130.00
150,150,"FENTY x PUMA Creeper Phatty Women's Sneakers
PUMA Black-Warm White-Gum",Women,3 ,140.00
151,151,"FENTY x PUMA Creeper Phatty Women's Sneakers
Lavender Alert-Burnt Red-Gum",Women,3 ,140.00
152,152,"FENTY x PUMA Creeper Phatty Women's Sneakers
Speed Blue-Lime Pow-Gum",Women,3 ,140.00
153,153,"Basket Classic Velvet Women's Sneakers
Dark Jasper-Puma Team Gold-PUMA White",Women,2 ,"64.99
80.00"
154,154,"Basket Classic Velvet Women's Sneakers
Malachite-Puma Team Gold-PUMA White",Women,2 ,"64.99
80.00"
155,155,"Mayze Heritage Velvet Women's Sneakers
PUMA White-Malachite-Puma Team Gold",Women,1 ,"84.99
100.00"
156,156,"CA Pro Velour Sneakers
Malachite-Warm White",Women,2 ,"79.99
100.00"
157,157,"CA Pro Velour Sneakers
PUMA Black-PUMA Black",Women,2 ,"79.99
100.00"
158,158,"Cali Women's Sneakers
Puma White-Puma White",Women,2 ,80.00
