Category,no_of_colors,Price,count_of_size,Color1,Color2,Color3,Color4,Color5,reviews,comfort,quality,star_rating
0,1.6094379124341003,61.19,2.0,310,252,131,104,78,3.6375861597263857,10.0,10.0,4.7
0,1.6094379124341003,41.99,1.0,310,252,131,104,78,3.6375861597263857,10.0,10.0,4.7
0,1.0986122886681098,75.59,0.0,487,170,166,127,78,6.208590026096629,10.0,10.0,4.7
0,1.3862943611198906,100.79,1.0,487,170,166,127,78,6.208590026096629,7.5,7.5,4.7
0,1.3862943611198906,71.99,4.0,548,153,161,127,78,1.0986122886681098,7.5,7.5,4.0
0,1.3862943611198906,43.19,1.0,310,252,113,127,78,5.945420608606575,7.5,7.5,4.7
0,1.0986122886681098,129.59,3.0,310,252,113,127,78,5.945420608606575,7.5,7.5,4.7
0,1.0986122886681098,50.39,3.0,336,203,166,127,78,3.2188758248682006,7.5,7.5,4.8
0,1.3862943611198906,57.59,1.0,336,203,166,127,78,3.2188758248682006,7.5,7.5,4.8
0,1.0986122886681098,25.79,0.0,390,252,113,127,78,5.204006687076795,7.5,7.5,4.7
0,1.0986122886681098,45.59,0.0,323,247,166,127,78,3.4339872044851463,7.5,7.5,4.6
0,1.3862943611198906,61.19,5.0,487,170,166,127,78,3.4339872044851463,7.7,7.7,4.6
0,1.0986122886681098,57.59,3.0,390,252,113,127,78,5.204006687076795,7.7,7.7,4.7
0,1.0986122886681098,46.19,4.0,323,247,166,127,78,3.4339872044851463,8.2,8.2,4.6
0,1.3862943611198906,41.99,3.0,312,252,166,127,78,7.1276936993473985,8.2,8.2,4.8
0,1.791759469228055,57.59,7.0,329,173,126,113,82,2.70805020110221,10.0,10.0,4.6
0,1.0986122886681098,83.99,5.0,311,180,166,127,78,5.123963979403259,10.0,10.0,4.6
0,1.0986122886681098,50.39,3.0,487,170,166,127,78,5.123963979403259,10.0,10.0,4.6
0,1.6094379124341003,53.99,1.0,311,252,166,127,78,1.3862943611198906,10.0,10.0,4.7
0,1.0986122886681098,67.19,3.0,329,173,126,113,82,2.70805020110221,10.0,10.0,4.6
0,1.791759469228055,83.99,2.0,487,153,166,127,78,3.4657359027997265,10.0,10.0,4.6
0,1.0986122886681098,41.99,4.0,329,173,126,113,82,2.70805020110221,7.7,7.7,4.6
0,1.791759469228055,43.19,0.0,418,247,166,127,78,3.4011973816621555,7.7,7.7,4.7
0,1.3862943611198906,46.79,3.0,548,252,113,110,78,4.976733742420574,7.7,7.7,4.4
0,1.6094379124341003,61.19,6.0,311,306,171,127,78,1.0986122886681098,7.7,7.7,1.5
0,1.3862943611198906,45.59,2.0,487,170,113,102,78,1.791759469228055,10.0,10.0,4.2
0,1.3862943611198906,65.99,2.0,487,290,112,127,78,2.8903717578961645,10.0,10.0,4.7
0,1.6094379124341003,39.59,4.0,329,247,166,127,78,2.8903717578961645,5.0,5.0,4.7
0,1.6094379124341003,50.39,3.0,483,290,113,118,78,2.8903717578961645,5.0,5.0,4.7
